,umur,produk,nilai_produk,jumlah_review,tempat_beli,jenis,kategori,tipe_kulit,waktu_pemakaian,penggunaan,kepuasan,warna_kulit,tone_kulit,value
3121,25 - 29,C White Lightening Serum,4.8,21,Gift,Serum \\u0026 Essence,Treatment,Normal,Less than 1 week,0,5,Medium Dark,Neutral,1
3122,30 - 34,Hydrasoothe Sunscreen Gel SPF 45+++,4.7,23,Shopee,Sun Protection,Moisturizer,Dry,1 month - 3 months,1,4,Medium,Warm,1
3158,18 and Under,Ultralight Hydraglow Day Cream,4.6,16,Instagram,Day Cream,Moisturizer,Combination,1 week - 1 month,1,5,Medium,Warm,1
3159,25 - 29,C White Lightening Serum,5.0,1,Instagram,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,1,5,Medium,Warm,1
3167,19 - 24,Anti Acne & Brightening Serum,5.0,1,Instagram,Acne Treatment,Treatment,Dry,1 week - 1 month,1,5,Medium Light,Neutral,1
3168,19 - 24,Pore Tightening & Oil Control Moist Serum,4.6,34,Instagram,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,1,5,Medium Light,Neutral,1
3200,19 - 24,Oil Free Brightening Daily Moisturizer,4.4,455,Brand website,Lotion \\u0026 Emulsion,Moisturizer,Combination,1 month - 3 months,0,4,Medium Dark,Warm,0
3204,19 - 24,Hydrasoothe Sunscreen Gel SPF 45+++,3.5,2,Tokopedia,Sun Protection,Moisturizer,Combination,1 month - 3 months,0,5,Medium Dark,Warm,1
3215,25 - 29,Anti Acne & Brightening Serum,4.5,741,Shopee,Acne Treatment,Treatment,Oily,1 month - 3 months,0,5,Medium,Neutral,1
3219,35 - 39,Hydrasoothe Sunscreen Gel SPF 45+++,3.4,109,Shopee,Sun Protection,Moisturizer,Oily,1 month - 3 months,1,5,Medium,Neutral,1
3221,19 - 24,Anti Acne & Brightening Serum,4.3,3,Instagram,Acne Treatment,Treatment,Combination,1 week - 1 month,0,5,Medium,Warm,1
3250,25 - 29,C White Lightening Serum,4.6,72,Instagram,Serum \\u0026 Essence,Treatment,Oily,1 month - 3 months,0,5,Medium Light,Neutral,1
3251,19 - 24,Ultralight Hydraglow Day Cream,4.8,70,Instagram,Day Cream,Moisturizer,Oily,1 week - 1 month,1,5,Medium Light,Neutral,1
3267,19 - 24,C-White Perfect Radiance Night Moisturizer,4.6,19,Official Brand Store,Night Cream,Moisturizer,Combination,1 week - 1 month,1,5,Medium Light,Neutral,1
3277,18 and Under,C White Lightening Serum,4.1,340,Official Brand Store,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,1,5,Medium Light,Neutral,1
3294,19 - 24,Oil Free Brightening Daily Moisturizer,4.2,16,Brand website,Lotion \\u0026 Emulsion,Moisturizer,Combination,3 months - 6 months,1,4,Medium,Warm,1
3300,18 and Under,Revitalizing Anti aging serum,4.7,18,Tokopedia,Serum \\u0026 Essence,Treatment,Normal,Less than 1 week,1,5,Medium,Neutral,1
3302,25 - 29,Skinfit Essence Toner,4.4,644,Tokopedia,Toner,Cleanser,Normal,Less than 1 week,1,5,Medium,Neutral,1
3305,30 - 34,Pore Tightening & Oil Control Moist Serum,4.8,33,Shopee,Serum \\u0026 Essence,Treatment,Dry,1 week - 1 month,0,5,Light,Cool,1
3321,19 - 24,C White Night Moisturizer,4.5,74,Shopee,Night Cream,Moisturizer,Oily,1 month - 3 months,1,5,Medium Light,Neutral,1
3325,25 - 29,Ultralight Hydraglow Day Cream,4.5,2854,Indomaret,Day Cream,Moisturizer,Oily,1 week - 1 month,1,5,Medium Light,Neutral,1
3327,19 - 24,C White Lightening Serum,4.6,44,Shopee,Serum \\u0026 Essence,Treatment,Oily,6 months - 1 year,1,5,Medium Light,Neutral,1
3350,19 - 24,Revitalizing Anti aging serum,4.6,221,Shopee,Serum \\u0026 Essence,Treatment,Oily,1 week - 1 month,1,5,Light,Neutral,1
3361,25 - 29,C White Lightening Serum,4.5,91,Instagram,Serum \\u0026 Essence,Treatment,Normal,1 week - 1 month,0,5,Medium Light,Neutral,1
3370,18 and Under,Ultralight Hydraglow Day Cream,3.5,263,Instagram,Day Cream,Moisturizer,Dry,1 week - 1 month,0,5,Medium,Neutral,1
3372,19 - 24,C White Lightening Serum,4.0,308,Instagram,Serum \\u0026 Essence,Treatment,Dry,1 week - 1 month,0,5,Medium,Neutral,1
3461,25 - 29,Revitalizing Anti aging serum,5.0,98,Instagram,Serum \\u0026 Essence,Treatment,Normal,Less than 1 week,1,5,Medium Dark,Warm,1
3487,19 - 24,C-White Perfect Radiance Night Moisturizer,4.6,278,PR Package,Night Cream,Moisturizer,Normal,Less than 1 week,1,5,Light,Warm,1
3488,30 - 34,C White Lightening Serum,4.3,99,PR Package,Serum \\u0026 Essence,Treatment,Normal,Less than 1 week,1,4,Light,Warm,1
3489,19 - 24,Ultralight Hydraglow Day Cream,5.0,75,Shopee,Day Cream,Moisturizer,Combination,Less than 1 week,0,5,Medium,Neutral,1
3492,30 - 34,C White Lightening Serum,4.6,38,Shopee,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,0,5,Medium,Neutral,1
3503,18 and Under,Ultralight Hydraglow Day Cream,3.8,430,Tokopedia,Day Cream,Moisturizer,Normal,1 week - 1 month,0,5,Light,Neutral,1
3506,18 and Under,C White Lightening Serum,4.0,4702,Shopee,Serum \\u0026 Essence,Treatment,Normal,1 month - 3 months,0,5,Light,Neutral,1
3509,19 - 24,Anti Acne & Brightening Serum,4.4,25,Shopee,Acne Treatment,Treatment,Normal,1 week - 1 month,1,5,Medium Light,Neutral,1
3554,25 - 29,C-White Perfect Radiance Night Moisturizer,4.9,84,Instagram,Night Cream,Moisturizer,Oily,Less than 1 week,1,5,Dark,Neutral,1
3557,19 - 24,C White Lightening Serum,4.8,2347,Instagram,Serum \\u0026 Essence,Treatment,Oily,Less than 1 week,1,5,Dark,Neutral,1
3575,19 - 24,Ultralight Hydraglow Day Cream,4.8,9,Shopee,Day Cream,Moisturizer,Normal,Less than 1 week,1,5,Medium,Neutral,1
3576,25 - 29,Ultralight Hydraglow Day Cream,4.3,198,Tokopedia,Day Cream,Moisturizer,Combination,1 week - 1 month,1,5,Medium,Neutral,1
3578,19 - 24,C White Lightening Serum,4.8,3491,Shopee,Serum \\u0026 Essence,Treatment,Normal,Less than 1 week,1,5,Medium,Neutral,1
3579,19 - 24,Anti Acne & Brightening Serum,5.0,74,FD Try and Review,Acne Treatment,Treatment,Combination,More than 1 year,1,5,Dark,Neutral,1
3588,25 - 29,Hydrasoothe Sunscreen Gel SPF 45+++,4.3,27,FD Try and Review,Sun Protection,Moisturizer,Normal,1 week - 1 month,0,5,Light,Neutral,1
3589,25 - 29,Anti Acne & Brightening Serum,4.7,456,Shopee,Acne Treatment,Treatment,Combination,1 week - 1 month,1,5,Medium,Neutral,1
3590,19 - 24,Anti Acne & Brightening Serum,4.9,618,Instagram,Acne Treatment,Treatment,Combination,Less than 1 week,0,5,Medium,Warm,1
3592,30 - 34,C-White Perfect Radiance Night Moisturizer,4.0,48,Instagram,Night Cream,Moisturizer,Combination,1 month - 3 months,1,5,Medium Light,Neutral,1
3593,19 - 24,C White Lightening Serum,4.9,814,Shopee,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,1,5,Medium,Neutral,1
3595,19 - 24,Let It Glow Hydraveil Primer Serum,4.9,61,Tokopedia,Corrector \\u0026 Primer,Face,Oily,1 week - 1 month,0,5,Light,Warm,1
